oa,epoch,time,trainAcc,testAcc,trainErr,testErr
backprop,124,0.20342519999999964,100.0,100.0,0.0,0.0
backprop,125,0.20480169999999953,100.0,100.0,0.0,0.0
backprop,126,0.20620639999999946,100.0,100.0,0.0,0.0
backprop,127,0.20761969999999952,100.0,100.0,0.0,0.0
backprop,128,0.20902419999999955,100.0,100.0,0.0,0.0
backprop,129,0.2104420999999994,100.0,100.0,0.0,0.0
backprop,130,0.21182249999999936,100.0,100.0,0.0,0.0
backprop,131,0.2132277999999994,100.0,100.0,0.0,0.0
backprop,132,0.21463129999999953,100.0,100.0,0.0,0.0
backprop,133,0.21608429999999945,100.0,100.0,0.0,0.0
backprop,134,0.21751019999999932,100.0,100.0,0.0,0.0
backprop,135,0.2188989999999993,100.0,100.0,0.0,0.0
backprop,136,0.22031169999999922,100.0,100.0,0.0,0.0
backprop,137,0.22172069999999922,100.0,100.0,0.0,0.0
backprop,138,0.22312189999999932,100.0,100.0,0.0,0.0
backprop,139,0.22452399999999928,100.0,100.0,0.0,0.0
backprop,140,0.22593409999999925,100.0,100.0,0.0,0.0
backprop,141,0.22733309999999918,100.0,100.0,0.0,0.0
backprop,142,0.22874169999999916,100.0,100.0,0.0,0.0
backprop,143,0.23013659999999914,100.0,100.0,0.0,0.0
backprop,144,0.23151789999999917,100.0,100.0,0.0,0.0
backprop,145,0.23290809999999906,100.0,100.0,0.0,0.0
backprop,146,0.23430529999999905,100.0,100.0,0.0,0.0
backprop,147,0.23568309999999904,100.0,100.0,0.0,0.0
backprop,148,0.23709429999999898,100.0,100.0,0.0,0.0
backprop,149,0.23846879999999904,100.0,100.0,0.0,0.0
backprop,150,0.23985499999999904,100.0,100.0,0.0,0.0
backprop,151,0.24120999999999904,100.0,100.0,0.0,0.0
backprop,152,0.24253499999999906,100.0,100.0,0.0,0.0
backprop,153,0.24385289999999915,100.0,100.0,0.0,0.0
backprop,154,0.24517539999999927,100.0,100.0,0.0,0.0
backprop,155,0.2464988999999993,100.0,100.0,0.0,0.0
backprop,156,0.24784469999999947,100.0,100.0,0.0,0.0
backprop,157,0.24917449999999963,100.0,100.0,0.0,0.0
backprop,158,0.2504991999999995,100.0,100.0,0.0,0.0
backprop,159,0.2518279999999993,100.0,100.0,0.0,0.0
backprop,160,0.25316449999999935,100.0,100.0,0.0,0.0
backprop,161,0.25448999999999944,100.0,100.0,0.0,0.0
backprop,162,0.2558068999999996,100.0,100.0,0.0,0.0
backprop,163,0.25720969999999954,100.0,100.0,0.0,0.0
backprop,164,0.2585626999999995,100.0,100.0,0.0,0.0
backprop,165,0.2598927999999996,100.0,100.0,0.0,0.0
backprop,166,0.26122449999999975,100.0,100.0,0.0,0.0
backprop,167,0.2625647999999998,100.0,100.0,0.0,0.0
backprop,168,0.26389399999999985,100.0,100.0,0.0,0.0
backprop,169,0.26521700000000004,100.0,100.0,0.0,0.0
backprop,170,0.2665503,100.0,100.0,0.0,0.0
backprop,171,0.26787609999999984,100.0,100.0,0.0,0.0
backprop,172,0.26921759999999995,100.0,100.0,0.0,0.0
backprop,173,0.27056119999999995,100.0,100.0,0.0,0.0
backprop,174,0.2718841999999999,100.0,100.0,0.0,0.0
backprop,175,0.2732348,100.0,100.0,0.0,0.0
backprop,176,0.27455739999999995,100.0,100.0,0.0,0.0
backprop,177,0.27588009999999996,100.0,100.0,0.0,0.0
backprop,178,0.2772284999999999,100.0,100.0,0.0,0.0
backprop,179,0.27856309999999995,100.0,100.0,0.0,0.0
backprop,180,0.2798978999999999,100.0,100.0,0.0,0.0
backprop,181,0.2812349999999999,100.0,100.0,0.0,0.0
backprop,182,0.2825561999999999,100.0,100.0,0.0,0.0
backprop,183,0.2838966999999999,100.0,100.0,0.0,0.0
backprop,184,0.28522190000000003,100.0,100.0,0.0,0.0
backprop,185,0.2865443000000001,100.0,100.0,0.0,0.0
backprop,186,0.2878711999999999,100.0,100.0,0.0,0.0
backprop,187,0.28923659999999973,100.0,100.0,0.0,0.0
backprop,188,0.2905702999999997,100.0,100.0,0.0,0.0
backprop,189,0.2919134999999997,100.0,100.0,0.0,0.0
backprop,190,0.2932750999999998,100.0,100.0,0.0,0.0
backprop,191,0.29464939999999973,100.0,100.0,0.0,0.0
backprop,192,0.2959723999999997,100.0,100.0,0.0,0.0
backprop,193,0.2973247999999997,100.0,100.0,0.0,0.0
backprop,194,0.29864489999999955,100.0,100.0,0.0,0.0
backprop,195,0.3000215999999998,100.0,100.0,0.0,0.0
backprop,196,0.30137019999999937,100.0,100.0,0.0,0.0
backprop,197,0.3026959999999994,100.0,100.0,0.0,0.0
backprop,198,0.3040252999999995,100.0,100.0,0.0,0.0
backprop,199,0.30535389999999984,100.0,100.0,0.0,0.0
backprop,200,0.3066981999999998,100.0,100.0,0.0,0.0
backprop,201,0.3080966999999999,100.0,100.0,0.0,0.0
backprop,202,0.3095058999999998,100.0,100.0,0.0,0.0
backprop,203,0.3108559999999996,100.0,100.0,0.0,0.0
backprop,204,0.3122120999999993,100.0,100.0,0.0,0.0
backprop,205,0.31356259999999936,100.0,100.0,0.0,0.0
backprop,206,0.3149347999999994,100.0,100.0,0.0,0.0
backprop,207,0.31629489999999927,100.0,100.0,0.0,0.0
backprop,208,0.3176598999999991,100.0,100.0,0.0,0.0
backprop,209,0.3190089999999992,100.0,100.0,0.0,0.0
backprop,210,0.3203553999999993,100.0,100.0,0.0,0.0
backprop,211,0.32170859999999935,100.0,100.0,0.0,0.0
backprop,212,0.32307099999999944,100.0,100.0,0.0,0.0
backprop,213,0.3244253999999993,100.0,100.0,0.0,0.0
backprop,214,0.32577629999999913,100.0,100.0,0.0,0.0
backprop,215,0.3271264999999992,100.0,100.0,0.0,0.0
backprop,216,0.32850919999999895,100.0,100.0,0.0,0.0
backprop,217,0.3298606999999987,100.0,100.0,0.0,0.0
backprop,218,0.3312052999999986,100.0,100.0,0.0,0.0
backprop,219,0.3325572999999984,100.0,100.0,0.0,0.0
backprop,220,0.33390939999999847,100.0,100.0,0.0,0.0
backprop,221,0.33528909999999823,100.0,100.0,0.0,0.0
backprop,222,0.33664409999999845,100.0,100.0,0.0,0.0
backprop,223,0.3379924999999988,100.0,100.0,0.0,0.0
backprop,224,0.3393495999999987,100.0,100.0,0.0,0.0
backprop,225,0.3406994999999988,100.0,100.0,0.0,0.0
backprop,226,0.3420500999999987,100.0,100.0,0.0,0.0
backprop,227,0.3433970999999987,100.0,100.0,0.0,0.0
backprop,228,0.34479719999999836,100.0,100.0,0.0,0.0
backprop,229,0.3461471999999983,100.0,100.0,0.0,0.0
backprop,230,0.3474961999999986,100.0,100.0,0.0,0.0
backprop,231,0.34884189999999893,100.0,100.0,0.0,0.0
backprop,232,0.3501869999999989,100.0,100.0,0.0,0.0
backprop,233,0.3515734999999991,100.0,100.0,0.0,0.0
backprop,234,0.352948499999999,100.0,100.0,0.0,0.0
backprop,235,0.35433289999999906,100.0,100.0,0.0,0.0
backprop,236,0.355696199999999,100.0,100.0,0.0,0.0
backprop,237,0.35704349999999896,100.0,100.0,0.0,0.0
backprop,238,0.3583877999999989,100.0,100.0,0.0,0.0
backprop,239,0.35973569999999877,100.0,100.0,0.0,0.0
backprop,240,0.3610825999999989,100.0,100.0,0.0,0.0
backprop,241,0.362424399999999,100.0,100.0,0.0,0.0
backprop,242,0.3637719999999989,100.0,100.0,0.0,0.0
backprop,243,0.3651157999999992,100.0,100.0,0.0,0.0
backprop,244,0.3664610999999993,100.0,100.0,0.0,0.0
backprop,245,0.3678103999999991,100.0,100.0,0.0,0.0
backprop,246,0.36915829999999894,100.0,100.0,0.0,0.0
backprop,247,0.37050409999999867,100.0,100.0,0.0,0.0
backprop,248,0.37185599999999863,100.0,100.0,0.0,0.0
backprop,249,0.37322869999999875,100.0,100.0,0.0,0.0
backprop,250,0.3745755999999989,100.0,100.0,0.0,0.0
backprop,251,0.37594479999999897,100.0,100.0,0.0,0.0
backprop,252,0.3773287999999988,100.0,100.0,0.0,0.0
backprop,253,0.37869209999999875,100.0,100.0,0.0,0.0
backprop,254,0.3800511999999989,100.0,100.0,0.0,0.0
backprop,255,0.38140379999999907,100.0,100.0,0.0,0.0
backprop,256,0.38276089999999896,100.0,100.0,0.0,0.0
backprop,257,0.3841229999999991,100.0,100.0,0.0,0.0
backprop,258,0.3854750999999992,100.0,100.0,0.0,0.0
backprop,259,0.38679239999999937,100.0,100.0,0.0,0.0
backprop,260,0.3881076999999997,100.0,100.0,0.0,0.0
backprop,261,0.3894173999999999,100.0,100.0,0.0,0.0
backprop,262,0.3907269999999998,100.0,100.0,0.0,0.0
backprop,263,0.3921034999999995,100.0,100.0,0.0,0.0
backprop,264,0.3934246999999995,100.0,100.0,0.0,0.0
backprop,265,0.3948048999999998,100.0,100.0,0.0,0.0
backprop,266,0.39614259999999946,100.0,100.0,0.0,0.0
backprop,267,0.39745259999999916,100.0,100.0,0.0,0.0
backprop,268,0.39877529999999894,100.0,100.0,0.0,0.0
backprop,269,0.40008519999999925,100.0,100.0,0.0,0.0
backprop,270,0.4014237999999992,100.0,100.0,0.0,0.0
backprop,271,0.40279499999999957,100.0,100.0,0.0,0.0
backprop,272,0.4041786999999999,100.0,100.0,0.0,0.0
backprop,273,0.4054837999999996,100.0,100.0,0.0,0.0
backprop,274,0.4068071999999996,100.0,100.0,0.0,0.0
backprop,275,0.4081222,100.0,100.0,0.0,0.0
backprop,276,0.4094346000000002,100.0,100.0,0.0,0.0
backprop,277,0.4107487000000003,100.0,100.0,0.0,0.0
backprop,278,0.4120661000000003,100.0,100.0,0.0,0.0
backprop,279,0.41337190000000024,100.0,100.0,0.0,0.0
backprop,280,0.4146903000000004,100.0,100.0,0.0,0.0
backprop,281,0.41601920000000026,100.0,100.0,0.0,0.0
backprop,282,0.41734430000000056,100.0,100.0,0.0,0.0
backprop,283,0.4186561000000004,100.0,100.0,0.0,0.0
backprop,284,0.41997290000000054,100.0,100.0,0.0,0.0
backprop,285,0.4212877000000004,100.0,100.0,0.0,0.0
backprop,286,0.4225965000000007,100.0,100.0,0.0,0.0
backprop,287,0.42390240000000046,100.0,100.0,0.0,0.0
backprop,288,0.42524500000000054,100.0,100.0,0.0,0.0
backprop,289,0.4266406000000009,100.0,100.0,0.0,0.0
backprop,290,0.42800290000000074,100.0,100.0,0.0,0.0
backprop,291,0.4293514000000005,100.0,100.0,0.0,0.0
backprop,292,0.43073450000000046,100.0,100.0,0.0,0.0
backprop,293,0.43207960000000045,100.0,100.0,0.0,0.0
backprop,294,0.4333900000000004,100.0,100.0,0.0,0.0
backprop,295,0.43469820000000037,100.0,100.0,0.0,0.0
backprop,296,0.4360059000000003,100.0,100.0,0.0,0.0
backprop,297,0.4373222000000003,100.0,100.0,0.0,0.0
backprop,298,0.4386393000000004,100.0,100.0,0.0,0.0
backprop,299,0.4399465000000007,100.0,100.0,0.0,0.0
backprop,300,0.4412574000000007,100.0,100.0,0.0,0.0
backprop,301,0.44256990000000074,100.0,100.0,0.0,0.0
backprop,302,0.44387630000000056,100.0,100.0,0.0,0.0
backprop,303,0.4452021000000006,100.0,100.0,0.0,0.0
backprop,304,0.44651080000000065,100.0,100.0,0.0,0.0
backprop,305,0.44784740000000034,100.0,100.0,0.0,0.0
backprop,306,0.44916400000000034,100.0,100.0,0.0,0.0
backprop,307,0.45047450000000056,100.0,100.0,0.0,0.0
backprop,308,0.4517874000000004,100.0,100.0,0.0,0.0
backprop,309,0.45309930000000054,100.0,100.0,0.0,0.0
backprop,310,0.4544113000000005,100.0,100.0,0.0,0.0
backprop,311,0.45577300000000043,100.0,100.0,0.0,0.0
backprop,312,0.45711950000000034,100.0,100.0,0.0,0.0
backprop,313,0.45843990000000034,100.0,100.0,0.0,0.0
backprop,314,0.45975990000000055,100.0,100.0,0.0,0.0
backprop,315,0.46108980000000055,100.0,100.0,0.0,0.0
backprop,316,0.4624091000000006,100.0,100.0,0.0,0.0
backprop,317,0.4637174000000004,100.0,100.0,0.0,0.0
backprop,318,0.46509360000000055,100.0,100.0,0.0,0.0
backprop,319,0.4664709000000007,100.0,100.0,0.0,0.0
backprop,320,0.4678525000000009,100.0,100.0,0.0,0.0
backprop,321,0.469230900000001,100.0,100.0,0.0,0.0
backprop,322,0.47062990000000116,100.0,100.0,0.0,0.0
backprop,323,0.47203600000000123,100.0,100.0,0.0,0.0
backprop,324,0.4734474000000011,100.0,100.0,0.0,0.0
backprop,325,0.47486490000000114,100.0,100.0,0.0,0.0
backprop,326,0.4762396000000011,100.0,100.0,0.0,0.0
backprop,327,0.4776148000000011,100.0,100.0,0.0,0.0
backprop,328,0.4790456000000012,100.0,100.0,0.0,0.0
backprop,329,0.48050000000000126,100.0,100.0,0.0,0.0
backprop,330,0.4819561000000012,100.0,100.0,0.0,0.0
backprop,331,0.4833392000000012,100.0,100.0,0.0,0.0
backprop,332,0.484712100000001,100.0,100.0,0.0,0.0
backprop,333,0.4861152000000011,100.0,100.0,0.0,0.0
backprop,334,0.487505100000001,100.0,100.0,0.0,0.0
backprop,335,0.4888921000000013,100.0,100.0,0.0,0.0
backprop,336,0.4902972000000012,100.0,100.0,0.0,0.0
backprop,337,0.49167230000000095,100.0,100.0,0.0,0.0
backprop,338,0.4930394000000009,100.0,100.0,0.0,0.0
backprop,339,0.4944123000000007,100.0,100.0,0.0,0.0
backprop,340,0.4957913000000007,100.0,100.0,0.0,0.0
backprop,341,0.4971884000000004,100.0,100.0,0.0,0.0
backprop,342,0.4985721000000003,100.0,100.0,0.0,0.0
backprop,343,0.49995670000000003,100.0,100.0,0.0,0.0
backprop,344,0.5013292,100.0,100.0,0.0,0.0
backprop,345,0.5027057000000001,100.0,100.0,0.0,0.0
backprop,346,0.5040787000000002,100.0,100.0,0.0,0.0
backprop,347,0.5054557,100.0,100.0,0.0,0.0
backprop,348,0.5068282999999998,100.0,100.0,0.0,0.0
backprop,349,0.5081961999999998,100.0,100.0,0.0,0.0
backprop,350,0.5095908999999998,100.0,100.0,0.0,0.0
backprop,351,0.5109579999999998,100.0,100.0,0.0,0.0
backprop,352,0.5123289999999996,100.0,100.0,0.0,0.0
backprop,353,0.5136964999999998,100.0,100.0,0.0,0.0
backprop,354,0.5150676999999997,100.0,100.0,0.0,0.0
backprop,355,0.5166547999999997,100.0,100.0,0.0,0.0
backprop,356,0.5180250999999998,100.0,100.0,0.0,0.0
backprop,357,0.5193942999999994,100.0,100.0,0.0,0.0
backprop,358,0.5207806999999993,100.0,100.0,0.0,0.0
backprop,359,0.5221519999999991,100.0,100.0,0.0,0.0
backprop,360,0.5235433999999988,100.0,100.0,0.0,0.0
backprop,361,0.5249335999999987,100.0,100.0,0.0,0.0
backprop,362,0.5263070999999984,100.0,100.0,0.0,0.0
backprop,363,0.5277169999999984,100.0,100.0,0.0,0.0
backprop,364,0.5290956999999985,100.0,100.0,0.0,0.0
backprop,365,0.5304594999999985,100.0,100.0,0.0,0.0
backprop,366,0.5318338999999985,100.0,100.0,0.0,0.0
backprop,367,0.5332023999999984,100.0,100.0,0.0,0.0
backprop,368,0.5345705999999983,100.0,100.0,0.0,0.0
backprop,369,0.5359419999999984,100.0,100.0,0.0,0.0
backprop,370,0.5373122999999984,100.0,100.0,0.0,0.0
backprop,371,0.5386936999999985,100.0,100.0,0.0,0.0
backprop,372,0.5400627999999987,100.0,100.0,0.0,0.0
backprop,373,0.5414390999999987,100.0,100.0,0.0,0.0
backprop,374,0.5428101999999988,100.0,100.0,0.0,0.0
backprop,375,0.544204299999999,100.0,100.0,0.0,0.0
backprop,376,0.545577299999999,100.0,100.0,0.0,0.0
backprop,377,0.5469439999999992,100.0,100.0,0.0,0.0
backprop,378,0.5483104999999993,100.0,100.0,0.0,0.0
backprop,379,0.5496746999999995,100.0,100.0,0.0,0.0
backprop,380,0.5510402999999993,100.0,100.0,0.0,0.0
backprop,381,0.5524263999999997,100.0,100.0,0.0,0.0
backprop,382,0.5538150999999993,100.0,100.0,0.0,0.0
backprop,383,0.5551797999999992,100.0,100.0,0.0,0.0
backprop,384,0.5565466999999991,100.0,100.0,0.0,0.0
backprop,385,0.5579161999999991,100.0,100.0,0.0,0.0
backprop,386,0.559300399999999,100.0,100.0,0.0,0.0
backprop,387,0.5606898999999987,100.0,100.0,0.0,0.0
backprop,388,0.5620600999999985,100.0,100.0,0.0,0.0
backprop,389,0.5634225999999984,100.0,100.0,0.0,0.0
backprop,390,0.5647899999999983,100.0,100.0,0.0,0.0
backprop,391,0.5661796999999986,100.0,100.0,0.0,0.0
backprop,392,0.5675731999999984,100.0,100.0,0.0,0.0
backprop,393,0.5689384999999987,100.0,100.0,0.0,0.0
backprop,394,0.5703356999999987,100.0,100.0,0.0,0.0
backprop,395,0.5717257999999987,100.0,100.0,0.0,0.0
backprop,396,0.5731452999999986,100.0,100.0,0.0,0.0
backprop,397,0.5745727999999988,100.0,100.0,0.0,0.0
backprop,398,0.5760538999999987,100.0,100.0,0.0,0.0
backprop,399,0.5774869999999985,100.0,100.0,0.0,0.0
backprop,400,0.5789187999999983,100.0,100.0,0.0,0.0
backprop,401,0.5803528999999983,100.0,100.0,0.0,0.0
backprop,402,0.5817702999999981,100.0,100.0,0.0,0.0
backprop,403,0.5831840999999984,100.0,100.0,0.0,0.0
backprop,404,0.5846211999999988,100.0,100.0,0.0,0.0
backprop,405,0.5860636999999989,100.0,100.0,0.0,0.0
backprop,406,0.5874694999999985,100.0,100.0,0.0,0.0
backprop,407,0.5889631999999987,100.0,100.0,0.0,0.0
backprop,408,0.5903691999999989,100.0,100.0,0.0,0.0
backprop,409,0.5917951999999989,100.0,100.0,0.0,0.0
backprop,410,0.593215399999999,100.0,100.0,0.0,0.0
backprop,411,0.5946266999999985,100.0,100.0,0.0,0.0
backprop,412,0.5960356999999987,100.0,100.0,0.0,0.0
backprop,413,0.5974232999999989,100.0,100.0,0.0,0.0
backprop,414,0.5988570999999985,100.0,100.0,0.0,0.0
backprop,415,0.6002737999999985,100.0,100.0,0.0,0.0
backprop,416,0.6016436999999988,100.0,100.0,0.0,0.0
backprop,417,0.6029935999999985,100.0,100.0,0.0,0.0
backprop,418,0.6043418999999985,100.0,100.0,0.0,0.0
backprop,419,0.6056894999999984,100.0,100.0,0.0,0.0
backprop,420,0.6070376999999982,100.0,100.0,0.0,0.0
backprop,421,0.608387799999998,100.0,100.0,0.0,0.0
backprop,422,0.6097391999999979,100.0,100.0,0.0,0.0
backprop,423,0.6110887999999981,100.0,100.0,0.0,0.0
backprop,424,0.6124717999999982,100.0,100.0,0.0,0.0
backprop,425,0.6138236999999982,100.0,100.0,0.0,0.0
backprop,426,0.6151952999999979,100.0,100.0,0.0,0.0
backprop,427,0.6165692999999981,100.0,100.0,0.0,0.0
backprop,428,0.6179250999999979,100.0,100.0,0.0,0.0
backprop,429,0.6192793999999979,100.0,100.0,0.0,0.0
backprop,430,0.6206301999999979,100.0,100.0,0.0,0.0
backprop,431,0.6220095999999977,100.0,100.0,0.0,0.0
backprop,432,0.6233580999999975,100.0,100.0,0.0,0.0
backprop,433,0.6247952999999977,100.0,100.0,0.0,0.0
backprop,434,0.6261492999999978,100.0,100.0,0.0,0.0
backprop,435,0.6275268999999979,100.0,100.0,0.0,0.0
backprop,436,0.6288961999999978,100.0,100.0,0.0,0.0
backprop,437,0.6302547999999979,100.0,100.0,0.0,0.0
backprop,438,0.6316160999999976,100.0,100.0,0.0,0.0
backprop,439,0.6329764999999974,100.0,100.0,0.0,0.0
backprop,440,0.634371999999997,100.0,100.0,0.0,0.0
backprop,441,0.6357551999999973,100.0,100.0,0.0,0.0
backprop,442,0.6371331999999972,100.0,100.0,0.0,0.0
backprop,443,0.638496299999997,100.0,100.0,0.0,0.0
backprop,444,0.6398586999999967,100.0,100.0,0.0,0.0
backprop,445,0.6412393999999961,100.0,100.0,0.0,0.0
